년,1101000000,1102000000,1103000000,1104000000,1105000000,1106000000,1107000000,1108000000,1109000000,1110000000,1111000000,1112000000,1113000000,1114000000,1115000000,1116000000,1117000000,1118000000,1119000000,1120000000,1121000000,1122000000,1123000000,1124000000,1125000000,2101000000,2102000000,2103000000,2104000000,2105000000,2106000000,2107000000,2108000000,2109000000,2110000000,2111000000,2112000000,2113000000,2114000000,2115000000,2131000000,2201000000,2202000000,2203000000,2204000000,2205000000,2206000000,2207000000,2231000000,2301000000,2302000000,2304000000,2305000000,2306000000,2307000000,2308000000,2309000000,2331000000,2332000000,2401000000,2402000000,2403000000,2404000000,2405000000,2501000000,2502000000,2503000000,2504000000,2505000000,2601000000,2602000000,2603000000,2604000000,2631000000,2901000000,3101000000,3101100000,3101200000,3101300000,3101400000,3102000000,3102100000,3102200000,3102300000,3103000000,3104000000,3104100000,3104200000,3105000000,3106000000,3107000000,3108000000,3109000000,3109100000,3109200000,3110000000,3110100000,3110300000,3110400000,3111000000,3112000000,3113000000,3114000000,3115000000,3116000000,3117000000,3118000000,3119000000,3119100000,3119200000,3119300000,3120000000,3121000000,3122000000,3123000000,3124000000,3125000000,3126000000,3127000000,3128000000,3135000000,3137000000,3138000000,3201000000,3202000000,3203000000,3204000000,3205000000,3206000000,3207000000,3231000000,3232000000,3233000000,3234000000,3235000000,3236000000,3237000000,3238000000,3239000000,3240000000,3241000000,3302000000,3303000000,3304000000,3304100000,3304200000,3304300000,3304400000,3332000000,3333000000,3334000000,3335000000,3336000000,3337000000,3338000000,3339000000,3401000000,3401100000,3401200000,3402000000,3403000000,3404000000,3405000000,3406000000,3407000000,3408000000,3431000000,3433000000,3434000000,3435000000,3436000000,3437000000,3438000000,3501000000,3501100000,3501200000,3502000000,3503000000,3504000000,3505000000,3506000000,3531000000,3532000000,3533000000,3534000000,3535000000,3536000000,3537000000,3538000000,3601000000,3602000000,3603000000,3604000000,3606000000,3631000000,3632000000,3633000000,3635000000,3636000000,3637000000,3638000000,3639000000,3640000000,3641000000,3642000000,3643000000,3644000000,3645000000,3646000000,3647000000,3648000000,3701000000,3701100000,3701200000,3702000000,3703000000,3704000000,3705000000,3706000000,3707000000,3708000000,3709000000,3710000000,3731000000,3732000000,3733000000,3734000000,3735000000,3736000000,3737000000,3738000000,3739000000,3740000000,3741000000,3742000000,3743000000,3803000000,3805000000,3806000000,3807000000,3808000000,3809000000,3810000000,3811000000,3811100000,3811200000,3811300000,3811400000,3811500000,3831000000,3832000000,3833000000,3834000000,3835000000,3836000000,3837000000,3838000000,3839000000,3840000000,3901000000,3902000000
년,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도
년,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,중구,동구,서구,남구,북구,수성구,달서구,달성군,중구,동구,연수구,남동구,부평구,계양구,서구,미추홀구,강화군,옹진군,동구,서구,남구,북구,광산구,동구,중구,서구,유성구,대덕구,중구,남구,동구,북구,울주군,세종특별자치시,수원시,수원시 장안구,수원시 권선구,수원시 팔달구,수원시 영통구,성남시,성남시 수정구,성남시 중원구,성남시 분당구,의정부시,안양시,안양시 만안구,안양시 동안구,부천시,광명시,평택시,동두천시,안산시,안산시 상록구,안산시 단원구,고양시,고양시 덕양구,고양시 일산동구,고양시 일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인시,용인시 처인구,용인시 기흥구,용인시 수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,충주시,제천시,청주시,청주시 상당구,청주시 서원구,청주시 흥덕구,청주시 청원구,보은군,옥천군,영동군,진천군,괴산군,음성군,단양군,증평군,천안시,천안시 동남구,천안시 서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,전주시,전주시 완산구,전주시 덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,포항시,포항시 남구,포항시 북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,군위군,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,창원시,창원시 의창구,창원시 성산구,창원시 마산합포구,창원시 마산회원구,창원시 진해구,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,제주시,서귀포시
2021,1511.0,1478.3,1412.7,1481.7,1503.2,1525.9,1538.3,1563.4,1621.7,1682.2,1579.5,1475.2,1495.0,1464.2,1439.9,1429.1,1453.5,1447.2,1448.3,1446.7,1470.5,1464.8,1483.7,1488.2,1517.4,1723.2,1624.1,1743.5,1723.6,1656.7,1652.6,1710.6,1541.8,1710.5,1574.6,1667.3,1539.4,1607.9,1719.7,1591.6,1591.4,1195.5,1183.8,1211.3,1198.0,1198.0,1194.2,1229.3,1279.3,1402.6,1392.3,1388.9,1406.9,1408.1,1435.3,1402.6,1385.3,1363.5,1159.7,1543.3,1577.9,1563.6,1597.7,1605.4,1385.3,1417.5,1429.1,1384.8,1392.6,1435.2,1361.7,1439.9,1425.0,1509.5,1421.0,1419.6,1436.6,1427.1,1427.6,1391.1,1468.0,1478.2,1481.4,1453.6,1596.0,1462.2,1454.6,1468.6,1441.5,1458.7,1240.0,1479.9,1382.5,1386.1,1378.6,1476.2,1480.5,1474.3,1469.3,1515.5,1550.1,1585.2,1331.5,1398.5,1487.1,1460.3,1514.7,1429.4,1438.9,1418.5,1436.1,1429.5,1417.9,1343.6,1419.9,1326.4,1532.2,1531.7,1500.8,1409.6,1420.0,1544.8,1507.7,1368.7,1409.7,1353.3,1401.1,1339.5,1469.0,1381.6,1405.5,1476.3,1281.1,1298.7,1284.5,1405.7,1397.0,1255.6,1190.3,1416.0,1414.8,1259.4,1358.8,1346.1,1327.5,1362.5,1385.8,1299.4,1371.4,1360.8,1297.1,1358.4,1311.8,1331.9,1305.7,1267.6,1329.4,1359.4,1290.1,1410.3,1354.5,1227.2,1211.7,1340.4,1430.6,1191.2,1415.3,1407.0,1351.6,1466.5,1259.4,1228.5,1117.3,1364.9,1373.6,1354.7,1402.5,1378.2,1483.8,1631.4,1334.0,1435.5,1533.6,1391.0,1567.1,1557.2,1641.6,1490.9,1403.7,1515.8,1781.1,1894.2,1647.5,1856.3,1598.8,1606.2,1750.9,1781.2,1903.6,1602.4,1840.9,1684.1,1572.5,1538.1,1560.8,1661.4,1560.3,1603.6,1761.0,1643.9,1541.1,1442.4,1472.9,1413.9,1340.1,1245.2,1144.5,1222.9,1187.2,1234.6,1286.3,1290.3,1205.5,1147.7,1115.2,1166.8,1219.4,1309.5,1352.8,1391.5,1329.2,1235.5,1225.4,1198.6,1369.7,1630.4,1691.3,1795.3,1792.0,1456.5,1336.1,1839.1,1533.7,1688.8,1623.4,1555.0,1832.7,1753.3,1575.5,1611.0,1478.1,1378.8,1821.0,1943.3,1949.6,1920.5,1694.3,1601.1,1535.4,1902.1,2332.0
2022,1375.8,1366.9,1329.8,1365.8,1381.3,1387.9,1393.6,1411.5,1440.7,1485.1,1408.5,1317.7,1347.8,1338.9,1318.1,1300.0,1356.8,1366.0,1350.7,1354.6,1369.9,1369.7,1378.2,1366.5,1373.2,1479.2,1404.3,1498.2,1484.3,1445.7,1464.9,1467.7,1375.6,1501.4,1373.1,1518.3,1396.5,1420.7,1487.1,1387.1,1487.9,1133.4,1141.3,1141.3,1139.0,1152.5,1136.0,1158.3,1208.8,1289.0,1303.5,1316.6,1317.2,1302.0,1328.9,1293.6,1300.1,1162.3,975.6,1462.8,1487.4,1461.0,1516.3,1509.5,1397.7,1415.5,1404.6,1354.9,1384.5,1320.2,1271.6,1385.4,1332.6,1397.1,1395.4,1444.3,1430.0,1466.1,1459.2,1421.9,1407.3,1396.8,1400.4,1418.8,1418.4,1406.6,1398.1,1413.5,1328.1,1371.3,1308.9,1369.7,1322.1,1330.9,1312.5,1285.4,1288.3,1289.3,1274.5,1425.9,1372.4,1436.5,1444.2,1325.4,1445.8,1418.5,1366.1,1463.6,1498.2,1452.1,1440.4,1245.3,1391.0,1396.7,1261.2,1380.3,1460.0,1382.2,1377.2,1339.2,1239.1,1404.1,1397.1,1300.9,1316.4,1506.5,1474.5,1514.1,1507.6,1490.8,1372.0,1364.8,1329.1,1346.1,1399.8,1242.5,1289.7,1266.5,1269.9,1390.0,1441.1,1257.2,1349.4,1342.6,1353.2,1352.6,1349.7,1301.8,1475.7,1424.4,1463.2,1360.3,1350.4,1316.9,1338.9,1277.6,1391.6,1422.1,1351.7,1439.2,1352.9,1326.6,1342.6,1352.2,1386.8,1329.1,1493.9,1419.7,1352.1,1482.5,1393.1,1408.0,1307.6,1318.5,1319.4,1317.4,1375.0,1353.2,1403.7,1524.0,1351.0,1404.9,1573.7,1511.4,1550.2,1493.3,1547.5,1424.7,1421.5,1371.5,1881.7,1780.4,1491.0,1825.2,1519.5,1482.6,1551.5,1822.2,1853.9,1546.1,1852.9,1740.1,1574.6,1480.9,1421.8,1495.0,1446.0,1533.8,1673.8,1462.7,1401.0,1344.0,1370.2,1319.6,1219.7,1404.2,1193.6,1270.5,1290.0,1133.4,1435.6,1443.5,1146.2,1157.4,1182.3,1107.2,1241.3,1234.7,1301.6,1303.5,1275.4,1206.1,1354.7,1330.1,1441.4,1780.7,1595.3,1791.5,1807.8,1375.6,1285.6,1803.0,1497.5,1646.9,1580.6,1509.5,1797.2,1710.0,1530.3,1521.2,1413.3,1343.5,1821.4,1977.4,1869.4,1741.6,1543.3,1509.9,1449.0,1927.7,2190.4
2023,1261.6,1218.6,1150.2,1231.7,1246.9,1284.3,1307.3,1327.3,1415.6,1453.8,1365.1,1258.2,1246.7,1199.3,1169.8,1174.3,1153.6,1153.7,1164.7,1151.2,1174.6,1180.5,1209.5,1225.4,1259.9,1351.4,1277.0,1372.4,1353.9,1332.7,1366.3,1359.8,1289.2,1378.8,1234.2,1396.5,1261.9,1302.2,1372.8,1298.3,1338.0,989.2,986.3,997.0,1005.3,1007.5,994.3,1024.2,1090.2,1051.3,1049.2,1031.1,1071.5,1093.7,1140.8,1106.0,1050.2,1093.0,838.3,1151.7,1156.2,1157.4,1179.9,1145.1,1198.2,1221.8,1203.4,1155.7,1180.2,1134.6,1090.5,1215.7,1130.9,1243.4,1126.6,1204.6,1190.6,1214.3,1213.7,1198.8,1218.9,1216.7,1231.4,1214.5,1394.3,1135.5,1111.9,1154.9,1125.3,1144.3,1131.1,1398.5,1055.2,1078.8,1029.6,1254.7,1259.6,1250.7,1249.1,1214.2,1293.5,1341.7,1197.1,1049.8,1160.6,1160.9,1248.7,1246.6,1294.5,1226.5,1221.6,1293.6,1249.7,1224.9,1182.7,1126.6,1308.4,1385.7,1412.0,1232.9,1229.5,1402.7,1332.9,1312.1,1251.2,1599.7,1483.1,1427.2,1827.9,1452.0,1399.6,1381.5,1245.6,1474.1,1400.3,1235.3,1255.2,1392.5,1431.1,1741.7,1737.1,1175.7,1279.3,1138.9,1162.9,1145.8,1117.8,1119.4,1231.1,1208.5,1205.0,1220.5,1190.0,1188.0,1214.0,1143.4,1187.4,1201.1,1169.5,1131.6,1010.0,1125.4,994.9,1078.8,1197.9,1023.7,1255.7,1134.6,1037.9,1181.7,1036.0,1087.4,878.6,1046.9,1050.8,1042.3,1022.6,1026.4,1050.9,1304.4,953.6,1133.3,1311.2,1263.6,1323.0,1226.7,1264.1,1024.7,956.7,1053.7,1543.8,1583.1,1145.8,1579.5,1197.1,1257.1,1351.9,1508.2,1584.3,1283.7,1496.3,1348.4,1245.9,1117.8,1060.1,1089.8,1055.7,1146.6,1440.9,1201.6,1053.1,1147.7,1158.5,1137.6,1062.2,1159.0,1046.2,1074.8,1122.5,1015.6,1188.0,1217.1,1014.6,1005.2,1016.6,994.0,1129.6,1072.7,1153.0,1225.8,1152.1,1064.1,1131.4,1209.3,1289.5,1760.1,1447.1,1469.2,1503.7,1244.3,1187.8,1521.0,1324.5,1446.2,1413.9,1317.3,1580.1,1509.6,1322.7,1398.2,1268.5,1183.3,1537.8,1641.8,1617.8,1624.1,1430.6,1383.7,1379.4,1725.8,1965.1
2024,1174.8,1153.5,1111.4,1144.4,1134.3,1170.2,1182.2,1193.2,1246.4,1289.1,1209.9,1174.7,1172.3,1151.6,1151.7,1153.3,1136.5,1113.0,1124.2,1104.7,1122.5,1118.2,1119.7,1103.7,1131.7,1415.9,1348.1,1427.0,1401.2,1402.0,1412.9,1402.8,1339.4,1441.8,1314.4,1448.4,1338.6,1375.5,1434.8,1354.7,1439.4,974.5,979.0,979.5,989.9,974.9,993.6,995.4,1045.4,1133.2,1141.8,1086.6,1121.2,1154.0,1197.5,1156.7,1131.0,1074.1,939.6,1163.0,1188.8,1184.2,1183.8,1183.1,1295.4,1329.6,1323.7,1286.1,1279.4,1230.7,1187.7,1337.5,1246.6,1322.2,1230.2,1079.6,1077.6,1088.6,1085.7,1067.1,1088.9,1082.8,1092.4,1092.0,1304.4,1085.1,1073.2,1094.9,1148.9,1123.4,1011.9,1345.0,1025.3,1020.6,1030.4,1186.6,1188.3,1188.3,1181.0,1144.0,1167.9,1233.6,1068.1,1049.6,1099.8,1080.9,1111.6,1116.3,1169.9,1089.2,1096.1,1209.5,1144.8,1138.2,1156.4,1035.8,1183.5,1307.7,1364.2,1139.7,1281.2,1320.2,1219.6,1149.9,1080.4,1337.1,1437.2,1352.0,1399.0,1371.7,1235.0,1158.7,1160.4,1206.5,1239.4,1352.0,1297.3,1252.0,1190.9,1309.3,1338.8,1052.8,1117.8,1294.4,1318.4,1319.9,1280.3,1239.6,1272.5,1244.4,1168.7,1182.5,1156.4,1131.6,1112.6,1168.4,1121.8,1154.8,1078.6,1183.2,1094.7,1016.6,1048.4,1212.1,1298.4,1025.3,1348.8,1212.7,1167.6,1192.6,1100.5,1094.5,952.6,1188.1,1195.8,1179.0,1169.3,1163.5,1149.3,1328.1,1101.9,1252.7,1338.5,1210.8,1327.6,1277.8,1268.2,1138.9,1145.7,1129.1,1505.7,1522.1,1217.2,1513.5,1167.8,1254.5,1296.7,1494.4,1590.2,1288.3,1595.7,1455.2,1306.7,1220.8,1154.5,1188.1,1154.9,1205.2,1494.8,1184.1,1108.2,1291.5,1332.4,1253.3,1154.8,1087.6,1005.8,1019.8,1098.2,1078.4,1151.0,1132.8,1046.5,983.0,980.4,1007.8,1099.9,1150.5,1169.6,1144.3,1071.6,994.4,1091.4,1163.9,1297.7,1564.0,1393.2,1625.2,1527.0,1296.6,1159.5,1667.6,1388.4,1493.1,1441.9,1371.1,1616.4,1551.0,1394.6,1333.4,1267.5,1162.7,1599.0,1677.2,1549.7,1428.7,1278.7,1231.3,1241.7,1531.5,2129.9
2025,1556.8,1529.0,1477.4,1531.8,1540.5,1568.5,1584.3,1599.5,1658.0,1714.2,1611.2,1506.6,1542.6,1519.7,1473.6,1474.3,1477.5,1490.4,1495.8,1495.8,1520.1,1531.8,1547.7,1533.2,1547.8,1574.4,1486.2,1580.6,1574.1,1530.0,1534.6,1561.8,1403.9,1540.7,1446.7,1545.7,1415.4,1503.1,1574.5,1455.7,1486.5,1177.8,1174.6,1182.0,1192.6,1180.9,1191.9,1196.5,1250.3,1315.8,1328.7,1318.0,1358.2,1378.3,1438.5,1375.2,1333.9,1310.1,1110.8,1538.5,1546.2,1550.6,1573.5,1548.0,1386.5,1417.2,1407.6,1334.0,1354.6,1285.0,1243.4,1301.2,1266.4,1357.9,1265.0,1487.3,1478.0,1497.0,1500.7,1474.2,1532.2,1536.9,1547.7,1520.9,1678.5,1483.0,1467.0,1496.2,1427.4,1473.8,1290.3,1618.1,1368.9,1386.6,1349.6,1491.6,1497.8,1490.9,1479.6,1562.7,1555.5,1630.3,1414.3,1367.2,1506.5,1485.8,1545.9,1519.1,1552.9,1508.8,1495.0,1504.6,1473.1,1369.8,1416.4,1381.2,1608.6,1644.9,1658.9,1454.8,1570.5,1651.1,1566.8,1485.0,1309.3,1310.4,1266.3,1351.6,1517.8,1260.4,1527.1,1425.3,1237.2,1354.2,1288.7,1535.5,1518.3,1361.7,1363.5,1410.5,1434.2,1189.3,1269.6,1239.2,1263.7,1253.7,1229.7,1192.4,1372.9,1369.7,1359.4,1286.6,1249.2,1274.5,1244.2,1187.5,1269.8,1281.1,1255.1,1280.5,1170.6,1198.2,1224.8,1329.2,1396.3,1228.0,1486.2,1339.6,1268.6,1318.5,1179.1,1213.0,1114.2,1384.4,1391.9,1375.6,1243.9,1316.5,1375.3,1632.0,1252.5,1439.6,1593.1,1471.9,1621.3,1552.5,1597.0,1364.0,1251.5,1365.4,1764.5,1862.2,1571.4,1862.0,1571.7,1602.7,1663.4,1712.0,1848.8,1621.9,1812.0,1677.2,1528.5,1449.9,1394.4,1497.0,1385.4,1538.2,1658.6,1418.2,1332.6,1216.6,1215.1,1218.0,1155.8,1267.2,1144.7,1195.4,1172.3,1186.0,1273.3,1279.9,1203.6,1158.8,1113.6,1126.7,1183.3,1141.1,1326.0,1355.0,1282.5,1200.7,1220.9,1203.4,1244.4,1791.3,1653.2,1717.0,1728.7,1389.7,1327.6,1687.6,1445.9,1600.1,1570.8,1459.2,1735.1,1663.2,1480.1,1568.8,1440.1,1363.0,1746.3,1875.2,1892.4,1826.8,1686.0,1623.3,1513.8,2061.8,2392.4
2026,1716.2,1701.3,1631.9,1715.7,1751.2,1756.5,1791.3,1791.7,1843.7,1905.7,1824.1,1652.8,1677.5,1641.2,1594.0,1586.7,1588.2,1597.5,1602.0,1629.5,1644.0,1689.8,1725.0,1746.4,1770.6,1918.0,1808.9,1943.8,1896.5,1869.8,1891.8,1913.2,1761.8,1947.8,1777.0,1920.9,1776.5,1843.6,1953.1,1818.1,1870.9,1536.9,1496.5,1552.3,1560.4,1524.6,1525.1,1576.3,1606.9,1459.1,1466.6,1433.6,1486.4,1503.8,1533.8,1469.4,1468.8,1413.9,1106.0,2118.5,2136.2,2153.0,2136.0,2081.1,1659.2,1698.3,1663.2,1587.6,1615.1,1507.0,1449.6,1607.8,1531.0,1640.7,1572.1,1714.7,1706.9,1700.7,1725.0,1726.5,1766.1,1755.9,1773.8,1770.3,1879.4,1638.4,1614.5,1658.2,1551.5,1589.1,1526.8,1816.4,1466.6,1494.6,1436.2,1589.1,1612.3,1577.5,1554.4,1718.2,1798.8,1869.5,1645.5,1474.4,1670.0,1653.7,1775.7,1811.3,1872.2,1777.5,1793.0,1612.5,1791.3,1675.5,1489.7,1560.5,1911.6,1834.6,1837.9,1781.1,1718.7,1843.6,1874.2,1624.5,1860.3,1478.5,1516.4,1643.5,1418.8,1532.7,1786.5,1922.3,1701.7,1706.0,1604.7,1582.7,1588.5,1347.3,1376.7,1308.0,1390.9,1604.1,1787.6,1578.0,1598.6,1586.9,1565.7,1549.3,1676.6,1646.5,1737.2,1622.7,1614.8,1603.0,1659.9,1572.3,1562.4,1589.3,1527.2,1589.5,1462.7,1433.4,1345.8,1579.0,1655.9,1344.7,1805.1,1627.2,1574.7,1624.3,1451.1,1438.4,1264.5,1740.6,1756.8,1721.4,1599.1,1630.5,1887.3,2258.6,1630.2,1802.5,2071.8,1888.5,2154.8,2162.2,2283.3,1866.1,1795.2,1868.1,2094.5,2384.8,2093.7,2200.4,2134.7,2167.8,2264.3,2085.8,2339.7,2217.9,2226.6,1999.9,1861.1,1957.3,1925.0,2039.7,1935.0,2061.4,1948.8,1802.8,1794.7,1570.3,1572.8,1567.9,1467.6,1710.3,1492.4,1570.8,1511.4,1445.9,1670.1,1630.0,1470.8,1480.8,1458.8,1438.1,1566.5,1545.4,1594.7,1740.5,1654.6,1559.1,1525.5,1554.7,1645.3,2001.1,1940.7,2070.9,2013.6,1735.4,1588.1,2150.0,1764.5,2047.6,1994.3,1904.6,2217.9,2117.6,1896.2,1990.4,1786.8,1692.4,2068.7,2130.0,2280.3,2396.2,2185.0,2062.1,1979.2,1956.6,2364.0
2027,1147.2,1124.9,1080.0,1124.4,1138.6,1153.3,1155.2,1171.8,1211.5,1247.7,1170.3,1111.9,1131.4,1118.5,1116.4,1094.1,1121.7,1101.2,1110.6,1097.6,1123.5,1106.1,1118.0,1118.5,1142.1,1536.6,1444.7,1562.7,1528.9,1492.4,1483.8,1539.0,1375.1,1526.4,1402.3,1514.5,1359.2,1457.9,1555.5,1417.8,1456.6,1019.7,1029.6,1027.6,1033.0,1038.2,1040.8,1044.9,1097.7,995.9,1003.1,996.1,1038.3,1048.5,1083.3,1020.0,1007.3,886.5,837.1,1271.4,1286.1,1281.1,1303.6,1269.5,1087.4,1109.9,1108.1,1055.4,1060.2,1285.6,1224.5,1324.9,1294.9,1356.0,990.2,1069.0,1065.9,1082.9,1080.3,1048.2,1099.5,1103.6,1112.2,1089.9,1170.6,1092.5,1085.8,1098.0,1096.3,1118.9,918.8,1110.2,1021.9,1028.3,1015.1,1090.9,1109.3,1083.5,1061.1,1133.9,1149.2,1191.9,1021.1,1038.4,1107.7,1085.3,1130.6,1081.6,1106.6,1063.1,1081.8,1026.5,1074.3,1001.3,1006.4,993.1,1182.1,1151.4,1143.5,1076.0,1023.8,1166.9,1198.6,1089.3,1128.7,1329.7,1284.5,1388.8,1335.4,1263.4,1243.4,1234.3,1240.0,1345.9,1342.9,1112.4,1121.9,1119.2,1130.2,1158.5,1319.4,1057.4,1213.0,956.2,985.5,962.1,938.8,924.3,1147.8,1135.8,1185.9,1022.2,1058.5,1016.8,1185.1,939.7,976.1,998.7,946.5,1011.9,909.8,899.9,896.2,1024.1,1110.0,916.1,1215.9,1030.2,977.2,1045.2,893.1,932.8,774.8,1140.6,1158.5,1119.3,961.6,975.6,1181.7,1393.4,998.2,1176.6,1372.6,1279.3,1370.8,1362.5,1393.6,1121.6,1053.2,1118.6,1584.8,1621.8,1275.6,1619.0,1335.4,1375.5,1444.3,1546.1,1597.4,1377.1,1534.7,1453.5,1314.1,1229.6,1148.1,1240.7,1162.5,1301.3,1488.6,1195.5,1111.6,1228.2,1260.6,1197.9,1201.8,1158.3,1010.6,1077.5,1121.4,1100.5,1151.2,1152.1,1085.8,1032.4,993.2,1039.4,1145.7,1104.8,1262.7,1163.4,1122.4,1063.6,1089.4,1197.5,1194.2,1645.6,1430.3,1571.4,1530.2,1316.5,1298.3,1653.3,1419.3,1545.4,1501.0,1456.9,1658.1,1604.9,1435.5,1465.9,1344.6,1289.0,1581.2,1729.7,1639.3,1615.1,1436.8,1339.6,1336.4,1691.5,2142.0
