년,1101000000,1102000000,1103000000,1104000000,1105000000,1106000000,1107000000,1108000000,1109000000,1110000000,1111000000,1112000000,1113000000,1114000000,1115000000,1116000000,1117000000,1118000000,1119000000,1120000000,1121000000,1122000000,1123000000,1124000000,1125000000,2101000000,2102000000,2103000000,2104000000,2105000000,2106000000,2107000000,2108000000,2109000000,2110000000,2111000000,2112000000,2113000000,2114000000,2115000000,2131000000,2201000000,2202000000,2203000000,2204000000,2205000000,2206000000,2207000000,2231000000,2301000000,2302000000,2304000000,2305000000,2306000000,2307000000,2308000000,2309000000,2331000000,2332000000,2401000000,2402000000,2403000000,2404000000,2405000000,2501000000,2502000000,2503000000,2504000000,2505000000,2601000000,2602000000,2603000000,2604000000,2631000000,2901000000,3101000000,3101100000,3101200000,3101300000,3101400000,3102000000,3102100000,3102200000,3102300000,3103000000,3104000000,3104100000,3104200000,3105000000,3106000000,3107000000,3108000000,3109000000,3109100000,3109200000,3110000000,3110100000,3110300000,3110400000,3111000000,3112000000,3113000000,3114000000,3115000000,3116000000,3117000000,3118000000,3119000000,3119100000,3119200000,3119300000,3120000000,3121000000,3122000000,3123000000,3124000000,3125000000,3126000000,3127000000,3128000000,3135000000,3137000000,3138000000,3201000000,3202000000,3203000000,3204000000,3205000000,3206000000,3207000000,3231000000,3232000000,3233000000,3234000000,3235000000,3236000000,3237000000,3238000000,3239000000,3240000000,3241000000,3302000000,3303000000,3304000000,3304100000,3304200000,3304300000,3304400000,3332000000,3333000000,3334000000,3335000000,3336000000,3337000000,3338000000,3339000000,3401000000,3401100000,3401200000,3402000000,3403000000,3404000000,3405000000,3406000000,3407000000,3408000000,3431000000,3433000000,3434000000,3435000000,3436000000,3437000000,3438000000,3501000000,3501100000,3501200000,3502000000,3503000000,3504000000,3505000000,3506000000,3531000000,3532000000,3533000000,3534000000,3535000000,3536000000,3537000000,3538000000,3601000000,3602000000,3603000000,3604000000,3606000000,3631000000,3632000000,3633000000,3635000000,3636000000,3637000000,3638000000,3639000000,3640000000,3641000000,3642000000,3643000000,3644000000,3645000000,3646000000,3647000000,3648000000,3701000000,3701100000,3701200000,3702000000,3703000000,3704000000,3705000000,3706000000,3707000000,3708000000,3709000000,3710000000,3731000000,3732000000,3733000000,3734000000,3735000000,3736000000,3737000000,3738000000,3739000000,3740000000,3741000000,3742000000,3743000000,3803000000,3805000000,3806000000,3807000000,3808000000,3809000000,3810000000,3811000000,3811100000,3811200000,3811300000,3811400000,3811500000,3831000000,3832000000,3833000000,3834000000,3835000000,3836000000,3837000000,3838000000,3839000000,3840000000,3901000000,3902000000
년,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,서울특별시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,부산광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,대구광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,인천광역시,광주광역시,광주광역시,광주광역시,광주광역시,광주광역시,대전광역시,대전광역시,대전광역시,대전광역시,대전광역시,울산광역시,울산광역시,울산광역시,울산광역시,울산광역시,세종특별자치시,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,강원특별자치도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도
년,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,중구,서구,동구,영도구,부산진구,동래구,남구,북구,해운대구,사하구,금정구,강서구,연제구,수영구,사상구,기장군,중구,동구,서구,남구,북구,수성구,달서구,달성군,중구,동구,연수구,남동구,부평구,계양구,서구,미추홀구,강화군,옹진군,동구,서구,남구,북구,광산구,동구,중구,서구,유성구,대덕구,중구,남구,동구,북구,울주군,세종특별자치시,수원시,수원시 장안구,수원시 권선구,수원시 팔달구,수원시 영통구,성남시,성남시 수정구,성남시 중원구,성남시 분당구,의정부시,안양시,안양시 만안구,안양시 동안구,부천시,광명시,평택시,동두천시,안산시,안산시 상록구,안산시 단원구,고양시,고양시 덕양구,고양시 일산동구,고양시 일산서구,과천시,구리시,남양주시,오산시,시흥시,군포시,의왕시,하남시,용인시,용인시 처인구,용인시 기흥구,용인시 수지구,파주시,이천시,안성시,김포시,화성시,광주시,양주시,포천시,여주시,연천군,가평군,양평군,춘천시,원주시,강릉시,동해시,태백시,속초시,삼척시,홍천군,횡성군,영월군,평창군,정선군,철원군,화천군,양구군,인제군,고성군,양양군,충주시,제천시,청주시,청주시 상당구,청주시 서원구,청주시 흥덕구,청주시 청원구,보은군,옥천군,영동군,진천군,괴산군,음성군,단양군,증평군,천안시,천안시 동남구,천안시 서북구,공주시,보령시,아산시,서산시,논산시,계룡시,당진시,금산군,부여군,서천군,청양군,홍성군,예산군,태안군,전주시,전주시 완산구,전주시 덕진구,군산시,익산시,정읍시,남원시,김제시,완주군,진안군,무주군,장수군,임실군,순창군,고창군,부안군,목포시,여수시,순천시,나주시,광양시,담양군,곡성군,구례군,고흥군,보성군,화순군,장흥군,강진군,해남군,영암군,무안군,함평군,영광군,장성군,완도군,진도군,신안군,포항시,포항시 남구,포항시 북구,경주시,김천시,안동시,구미시,영주시,영천시,상주시,문경시,경산시,군위군,의성군,청송군,영양군,영덕군,청도군,고령군,성주군,칠곡군,예천군,봉화군,울진군,울릉군,진주시,통영시,사천시,김해시,밀양시,거제시,양산시,창원시,창원시 의창구,창원시 성산구,창원시 마산합포구,창원시 마산회원구,창원시 진해구,의령군,함안군,창녕군,고성군,남해군,하동군,산청군,함양군,거창군,합천군,제주시,서귀포시
2021,14.5,15.0,14.8,15.2,15.3,15.1,14.7,14.7,14.6,14.2,14.3,14.5,14.3,14.9,15.0,14.9,14.9,15.0,15.3,15.0,14.9,15.1,15.3,15.3,14.9,16.5,15.8,15.5,16.3,16.2,16.1,16.6,16.2,16.4,16.2,15.6,16.3,16.6,16.2,16.5,15.8,16.1,15.8,16.1,15.8,15.5,15.9,15.7,15.3,14.1,14.2,14.2,14.1,14.2,14.1,14.0,14.2,13.4,13.5,15.7,15.6,15.6,15.5,15.2,14.4,15.0,14.6,14.3,14.4,15.9,16.4,15.7,16.1,15.2,13.9,14.3,14.2,14.3,14.3,14.3,14.6,14.7,14.4,14.6,13.9,14.4,14.5,14.3,14.6,14.8,14.1,13.0,14.1,14.0,14.2,14.3,14.4,14.2,14.0,14.0,14.4,13.7,14.0,14.3,14.1,14.4,14.8,13.9,13.3,14.0,14.3,13.4,13.4,13.7,13.9,14.0,13.7,13.2,12.3,13.2,12.4,12.5,13.2,12.8,13.3,14.5,14.4,10.4,14.1,13.6,11.4,11.3,12.0,10.3,10.5,10.9,11.4,11.1,11.2,13.8,14.2,13.2,12.3,14.1,13.7,14.2,14.5,14.0,12.8,13.4,13.2,13.3,12.9,13.1,12.6,13.7,13.7,13.6,13.8,13.8,13.9,13.9,13.7,14.0,13.4,13.7,13.3,13.8,14.1,13.3,13.8,13.7,14.0,15.1,15.1,15.1,14.4,14.4,14.6,13.8,14.6,14.1,12.5,12.6,12.6,13.1,13.6,14.6,14.6,15.3,16.0,15.4,15.0,15.8,14.5,14.4,14.8,15.7,14.4,14.5,14.7,15.0,15.1,15.1,15.2,14.9,14.8,14.6,15.7,15.1,15.4,15.5,15.8,15.2,14.9,13.8,13.4,14.4,13.1,14.4,13.7,13.4,15.5,13.4,13.6,12.4,12.0,14.7,14.4,14.5,14.3,14.7,13.5,12.0,14.2,13.6,14.8,16.0,15.6,15.9,14.9,15.9,15.2,15.5,15.4,15.8,15.5,15.5,15.6,14.5,14.9,14.9,15.2,15.9,15.3,14.5,13.7,13.2,14.4,17.0,17.4
2022,13.7,14.2,14.0,14.4,14.5,14.3,13.9,13.8,13.8,13.4,13.5,13.7,13.5,14.2,14.2,14.1,14.1,14.3,14.5,14.2,14.1,14.3,14.5,14.5,14.1,16.0,15.3,15.0,15.8,15.7,15.6,16.1,15.8,15.9,15.8,15.1,15.8,16.1,15.7,16.0,15.3,15.5,15.2,15.5,15.3,15.0,15.3,15.2,14.7,13.3,13.5,13.4,13.3,13.4,13.4,13.2,13.5,12.7,12.9,15.2,15.1,15.1,15.0,14.7,13.7,14.3,13.9,13.6,13.7,15.4,15.9,15.2,15.6,14.7,13.2,13.5,13.5,13.6,13.5,13.5,13.8,13.9,13.6,13.9,13.1,13.7,13.8,13.6,13.8,14.1,13.4,12.2,13.3,13.2,13.5,13.5,13.7,13.4,13.2,13.2,13.6,12.8,13.3,13.6,13.3,13.6,13.9,13.1,12.5,13.3,13.5,12.5,12.6,12.9,13.1,13.3,12.9,12.3,11.4,12.4,11.5,11.6,12.4,12.0,12.5,13.9,13.8,9.8,13.5,13.0,10.6,10.5,11.2,9.5,9.7,10.0,10.5,10.2,10.3,13.1,13.5,12.5,11.5,13.4,13.0,13.5,13.8,13.3,12.1,12.8,12.6,12.6,12.1,12.4,11.8,13.0,13.0,12.9,13.2,13.1,13.3,13.2,13.1,13.4,12.7,13.1,12.6,13.1,13.5,12.6,13.1,13.1,13.4,14.5,14.6,14.5,13.8,13.8,14.0,13.3,14.0,13.5,11.9,12.0,12.0,12.5,13.1,14.1,14.0,14.9,15.5,14.9,14.6,15.2,14.0,13.9,14.2,15.2,13.9,14.0,14.2,14.6,14.7,14.7,14.8,14.4,14.3,14.1,15.2,14.8,15.0,14.9,15.3,14.7,14.4,13.2,12.8,13.8,12.4,13.8,13.0,12.7,15.0,12.8,12.9,11.9,11.4,14.1,13.8,14.0,13.7,14.1,12.8,11.3,13.7,13.4,14.3,15.5,15.1,15.4,14.4,15.5,14.7,15.0,14.9,15.2,15.0,14.9,15.1,14.0,14.4,14.4,14.7,15.4,14.7,13.9,13.2,12.6,13.8,16.7,17.3
2023,13.9,14.4,14.3,14.7,14.7,14.5,14.1,14.1,14.0,13.6,13.7,13.9,13.8,14.4,14.5,14.3,14.3,14.5,14.8,14.4,14.4,14.6,14.8,14.7,14.3,15.9,15.2,14.8,15.7,15.5,15.4,15.9,15.5,15.7,15.6,14.9,15.7,15.9,15.5,15.8,15.1,15.3,15.0,15.3,15.0,14.7,15.1,14.9,14.5,13.5,13.7,13.7,13.6,13.7,13.6,13.5,13.7,12.9,13.0,15.2,15.1,15.1,15.0,14.7,13.7,14.3,14.0,13.7,13.7,15.2,15.7,15.0,15.4,14.6,13.3,13.7,13.7,13.8,13.7,13.8,14.0,14.1,13.7,14.0,13.3,13.9,14.0,13.8,14.0,14.3,13.6,12.5,13.6,13.5,13.7,13.7,13.9,13.7,13.5,13.5,13.8,13.0,13.5,13.8,13.6,13.8,14.1,13.3,12.7,13.5,13.7,12.8,12.8,13.1,13.4,13.5,13.1,12.6,11.7,12.6,11.8,11.8,12.5,12.1,12.5,13.6,13.4,9.4,13.2,12.6,10.7,10.5,11.1,9.4,9.5,10.2,10.7,10.2,10.3,12.8,13.2,12.5,11.6,13.5,13.1,13.6,13.8,13.4,12.1,12.7,12.5,12.7,12.2,12.5,11.8,13.0,13.1,13.0,13.3,13.2,13.5,13.4,13.2,13.5,12.8,13.2,12.6,13.3,13.7,12.8,13.3,13.2,13.5,14.6,14.6,14.5,14.0,13.9,14.1,13.2,14.2,13.6,11.9,11.9,11.9,12.5,13.1,14.2,14.2,14.9,15.5,14.9,14.6,15.1,14.0,13.9,14.1,15.1,13.9,14.0,14.1,14.5,14.7,14.7,14.8,14.5,14.4,14.2,15.2,14.7,15.0,14.7,15.0,14.4,14.2,13.1,12.6,13.6,12.3,13.6,12.9,12.6,14.8,12.6,12.8,11.6,11.2,13.9,13.6,13.8,13.5,13.9,12.7,11.1,13.3,13.0,14.2,15.5,15.0,15.2,14.2,15.4,14.5,14.9,14.7,15.1,14.9,14.8,15.0,13.8,14.3,14.2,14.6,15.4,14.6,13.8,13.0,12.4,13.6,16.6,17.1
2024,13.8,14.3,14.2,14.6,14.6,14.5,14.0,14.0,13.9,13.5,13.6,13.8,13.7,14.3,14.4,14.3,14.3,14.4,14.7,14.4,14.3,14.5,14.7,14.7,14.3,15.8,15.1,14.8,15.6,15.5,15.4,15.9,15.6,15.7,15.6,14.9,15.6,15.9,15.5,15.8,15.1,15.5,15.2,15.5,15.2,14.9,15.3,15.1,14.7,13.4,13.6,13.5,13.5,13.6,13.5,13.4,13.6,12.8,12.9,15.1,15.1,15.0,14.9,14.6,13.8,14.4,14.1,13.7,13.8,15.2,15.7,14.9,15.3,14.5,13.3,13.7,13.6,13.7,13.7,13.7,14.0,14.1,13.8,14.0,13.2,13.8,13.9,13.7,14.0,14.3,13.5,12.3,13.5,13.4,13.6,13.6,13.8,13.6,13.4,13.4,13.8,12.9,13.4,13.7,13.5,13.8,14.1,13.3,12.7,13.5,13.7,12.7,12.7,13.1,13.3,13.4,13.1,12.5,11.6,12.6,11.7,11.7,12.5,12.0,12.6,13.7,13.5,9.7,13.2,12.7,10.7,10.6,11.2,9.5,9.7,10.1,10.6,10.3,10.4,12.9,13.3,12.6,11.6,13.5,13.1,13.6,13.9,13.5,12.2,12.8,12.6,12.7,12.3,12.5,11.9,13.1,13.1,13.0,13.3,13.2,13.3,13.4,13.1,13.5,12.9,13.1,12.7,13.2,13.5,12.7,13.2,13.2,13.4,14.6,14.6,14.6,13.9,13.9,14.0,13.3,14.1,13.6,11.9,12.0,12.0,12.6,13.1,14.1,14.0,14.8,15.4,14.9,14.5,15.2,14.0,13.9,14.2,15.1,13.9,13.9,14.1,14.5,14.6,14.6,14.6,14.4,14.2,14.1,15.1,14.6,14.8,14.7,15.0,14.4,14.2,13.3,12.8,13.8,12.4,13.7,13.1,12.7,14.9,12.8,13.0,11.8,11.3,13.9,13.8,13.9,13.7,14.1,12.8,11.3,13.4,12.9,14.2,15.4,15.0,15.3,14.3,15.3,14.5,14.9,14.8,15.1,14.9,14.9,15.0,13.9,14.3,14.3,14.6,15.3,14.7,13.9,13.1,12.6,13.8,16.5,17.0
2025,13.8,14.3,14.2,14.6,14.6,14.5,14.0,14.0,13.9,13.5,13.6,13.8,13.7,14.3,14.4,14.3,14.3,14.4,14.7,14.4,14.3,14.5,14.7,14.7,14.3,16.0,15.3,15.0,15.8,15.7,15.6,16.1,15.8,15.9,15.8,15.2,15.9,16.2,15.8,16.1,15.4,15.6,15.3,15.6,15.4,15.1,15.4,15.3,14.9,13.5,13.7,13.6,13.5,13.6,13.5,13.4,13.6,12.8,13.0,15.3,15.2,15.2,15.1,14.8,13.9,14.5,14.2,13.8,13.9,15.5,16.0,15.2,15.6,14.8,13.4,13.8,13.7,13.8,13.8,13.8,14.0,14.1,13.8,14.1,13.2,13.8,13.9,13.8,14.0,14.3,13.6,12.4,13.5,13.4,13.7,13.6,13.8,13.6,13.4,13.4,13.8,13.0,13.5,13.7,13.5,13.8,14.1,13.4,12.8,13.5,13.8,12.7,12.9,13.2,13.3,13.5,13.1,12.5,11.6,12.7,11.7,11.8,12.6,12.1,12.7,13.9,13.7,9.9,13.4,12.9,10.7,10.7,11.4,9.7,9.8,10.1,10.6,10.3,10.5,13.0,13.5,12.7,11.7,13.7,13.3,13.8,14.0,13.6,12.3,13.0,12.8,12.8,12.4,12.6,12.0,13.2,13.2,13.1,13.4,13.4,13.5,13.5,13.3,13.6,13.0,13.3,12.8,13.4,13.7,12.9,13.4,13.3,13.5,14.7,14.8,14.7,14.0,14.0,14.3,13.5,14.3,13.8,12.1,12.2,12.2,12.7,13.3,14.3,14.2,15.0,15.6,15.0,14.6,15.3,14.2,14.0,14.3,15.2,14.0,14.1,14.2,14.6,14.7,14.7,14.8,14.5,14.4,14.3,15.3,14.8,15.0,15.0,15.3,14.7,14.5,13.4,12.9,14.0,12.6,14.0,13.2,12.9,15.1,12.9,13.1,12.0,11.5,14.1,14.0,14.1,13.9,14.3,13.0,11.5,13.6,12.9,14.4,15.5,15.2,15.5,14.5,15.5,14.8,15.1,15.0,15.4,15.1,15.0,15.2,14.1,14.5,14.5,14.7,15.5,14.8,14.1,13.3,12.7,14.0,16.8,17.2
2026,14.3,14.8,14.7,15.1,15.1,14.9,14.5,14.5,14.4,14.0,14.1,14.3,14.2,14.8,14.9,14.8,14.8,14.9,15.2,14.9,14.8,15.0,15.2,15.1,14.7,16.3,15.6,15.2,16.1,15.9,15.8,16.4,16.0,16.1,16.0,15.4,16.1,16.4,16.0,16.3,15.6,15.9,15.6,15.9,15.6,15.3,15.7,15.5,15.1,14.1,14.2,14.1,14.0,14.1,14.1,14.0,14.1,13.4,13.6,15.5,15.4,15.4,15.3,15.0,14.2,14.8,14.5,14.1,14.2,15.7,16.2,15.4,15.9,15.0,13.7,14.2,14.1,14.2,14.2,14.2,14.4,14.5,14.2,14.5,13.7,14.3,14.4,14.2,14.5,14.8,14.0,12.9,14.0,13.9,14.1,14.2,14.3,14.1,13.9,13.9,14.2,13.4,13.9,14.2,14.0,14.3,14.5,13.7,13.1,13.9,14.1,13.2,13.2,13.5,13.9,13.9,13.5,13.0,12.1,13.0,12.2,12.2,12.9,12.5,13.0,14.2,14.1,10.1,13.9,13.3,11.1,11.0,11.6,10.0,10.1,10.7,11.2,10.8,10.9,13.5,13.9,13.0,12.0,14.0,13.6,14.1,14.3,13.9,12.6,13.3,13.0,13.2,12.6,12.9,12.2,13.5,13.6,13.5,13.8,13.7,13.9,13.9,13.8,13.9,13.3,13.7,13.1,13.7,14.1,13.2,13.8,13.7,14.1,14.9,15.0,14.9,14.4,14.3,14.5,13.6,14.5,14.0,12.3,12.4,12.4,12.9,13.5,14.5,14.5,15.3,15.8,15.3,14.9,15.6,14.4,14.2,14.5,15.5,14.3,14.3,14.5,14.9,15.0,15.0,15.2,14.8,14.8,14.5,15.7,15.2,15.5,15.3,15.6,15.0,14.7,13.7,13.1,14.2,12.8,14.2,13.5,13.1,15.3,13.1,13.3,12.2,11.7,14.4,14.2,14.4,14.2,14.5,13.2,11.7,13.9,13.5,14.6,15.8,15.4,15.7,14.7,15.8,15.0,15.3,15.2,15.5,15.3,15.2,15.4,14.3,14.7,14.8,15.0,15.7,15.1,14.3,13.5,13.0,14.2,17.1,17.6
2027,14.2,14.7,14.6,15.0,15.0,14.9,14.4,14.4,14.3,14.0,14.0,14.3,14.1,14.8,14.9,14.7,14.7,14.8,15.1,14.8,14.7,14.9,15.1,15.1,14.6,16.3,15.6,15.3,16.0,16.0,15.8,16.4,16.0,16.1,16.0,15.4,16.1,16.4,16.0,16.3,15.5,15.7,15.4,15.8,15.5,15.2,15.5,15.4,15.0,14.1,14.2,14.2,14.1,14.1,14.1,14.0,14.2,13.4,13.6,15.5,15.5,15.4,15.3,15.0,14.2,14.8,14.5,14.2,14.2,15.6,16.1,15.4,15.8,15.0,13.7,14.2,14.1,14.2,14.2,14.2,14.4,14.4,14.1,14.4,13.6,14.3,14.4,14.2,14.5,14.7,14.0,12.8,14.1,13.9,14.2,14.1,14.3,14.1,13.9,13.8,14.1,13.4,13.9,14.3,14.0,14.2,14.5,13.7,13.1,13.9,14.1,13.2,13.1,13.5,13.8,13.9,13.5,12.9,12.0,12.9,12.1,12.1,12.9,12.4,12.9,14.2,14.1,10.0,13.8,13.2,11.0,10.9,11.5,9.8,10.0,10.5,11.0,10.6,10.7,13.5,13.9,12.9,11.9,14.0,13.6,14.1,14.3,13.9,12.6,13.2,13.0,13.1,12.6,12.9,12.2,13.5,13.6,13.5,13.7,13.7,14.0,13.9,13.8,14.0,13.3,13.7,13.1,13.7,14.1,13.3,13.8,13.7,14.1,15.0,15.0,15.0,14.4,14.3,14.5,13.6,14.6,14.0,12.3,12.3,12.3,12.9,13.4,14.6,14.6,15.3,15.8,15.2,14.9,15.5,14.4,14.2,14.5,15.5,14.2,14.3,14.5,14.9,15.0,15.0,15.2,14.8,14.8,14.5,15.7,15.2,15.5,15.2,15.5,14.9,14.6,13.6,13.1,14.1,12.7,14.1,13.4,13.1,15.2,13.1,13.3,12.2,11.7,14.4,14.1,14.3,14.0,14.4,13.1,11.6,13.9,13.6,14.6,15.8,15.4,15.7,14.6,15.8,14.9,15.3,15.2,15.5,15.3,15.2,15.4,14.2,14.7,14.7,15.0,15.8,15.0,14.2,13.4,12.9,14.1,17.1,17.5
