Year,Sub_Region_Name,Climate_Value
2021,종로구,16.6
2021,중구,21.1
2021,용산구,19.5
2021,성동구,24.0
2021,광진구,24.0
2021,동대문구,24.6
2021,중랑구,22.8
2021,성북구,20.2
2021,강북구,21.3
2021,도봉구,20.2
2021,노원구,20.7
2021,은평구,20.4
2021,서대문구,16.7
2021,마포구,20.9
2021,양천구,19.9
2021,강서구,19.3
2021,구로구,18.6
2021,금천구,14.5
2021,영등포구,21.9
2021,동작구,19.3
2021,관악구,16.7
2021,서초구,25.7
2021,강남구,24.2
2021,송파구,25.9
2021,강동구,24.7
2021,중구,7.1
2021,서구,4.5
2021,동구,5.5
2021,영도구,4.6
2021,부산진구,13.5
2021,동래구,17.5
2021,남구,11.3
2021,북구,20.2
2021,해운대구,13.2
2021,사하구,8.5
2021,금정구,17.1
2021,강서구,16.7
2021,연제구,19.9
2021,수영구,11.3
2021,사상구,17.1
2021,기장군,10.6
2021,중구,45.5
2021,동구,43.5
2021,서구,45.6
2021,남구,43.8
2021,북구,42.5
2021,수성구,42.2
2021,달서구,42.7
2021,달성군,40.5
2021,중구,3.9
2021,동구,4.9
2021,연수구,6.1
2021,남동구,8.8
2021,부평구,11.0
2021,계양구,11.7
2021,서구,9.3
2021,미추홀구,6.2
2021,강화군,3.4
2021,옹진군,0.5
2021,동구,24.7
2021,서구,30.6
2021,남구,28.1
2021,북구,26.1
2021,광산구,29.6
2021,동구,29.3
2021,중구,35.0
2021,서구,27.1
2021,유성구,25.1
2021,대덕구,27.6
2021,중구,20.8
2021,남구,22.8
2021,동구,3.9
2021,북구,17.6
2021,울주군,19.0
2021,세종특별자치시,23.3
2021,수원시,12.9
2021,수원시 장안구,11.8
2021,수원시 권선구,13.0
2021,수원시 팔달구,12.3
2021,수원시 영통구,14.2
2021,성남시,19.1
2021,성남시 수정구,20.1
2021,성남시 중원구,16.8
2021,성남시 분당구,19.5
2021,의정부시,19.2
2021,안양시,13.0
2021,안양시 만안구,13.1
2021,안양시 동안구,12.9
2021,부천시,16.6
2021,광명시,17.6
2021,평택시,18.2
2021,동두천시,17.1
2021,안산시,9.6
2021,안산시 상록구,10.8
2021,안산시 단원구,8.2
2021,고양시,20.1
2021,고양시 덕양구,22.3
2021,고양시 일산동구,18.5
2021,고양시 일산서구,17.3
2021,과천시,12.6
2021,구리시,20.5
2021,남양주시,17.4
2021,오산시,18.0
2021,시흥시,9.9
2021,군포시,9.5
2021,의왕시,13.3
2021,하남시,23.0
2021,용인시,13.6
2021,용인시 처인구,13.8
2021,용인시 기흥구,13.1
2021,용인시 수지구,14.2
2021,파주시,17.6
2021,이천시,17.2
2021,안성시,17.8
2021,김포시,11.3
2021,화성시,13.1
2021,광주시,14.7
2021,양주시,16.5
2021,포천시,16.0
2021,여주시,20.3
2021,연천군,15.9
2021,가평군,18.1
2021,양평군,18.4
2021,춘천시,19.4
2021,원주시,19.5
2021,강릉시,13.7
2021,동해시,6.3
2021,태백시,4.4
2021,속초시,5.0
2021,삼척시,11.9
2021,홍천군,14.6
2021,횡성군,9.9
2021,영월군,13.7
2021,평창군,5.3
2021,정선군,5.4
2021,철원군,5.6
2021,화천군,11.4
2021,양구군,10.5
2021,인제군,10.6
2021,고성군,6.1
2021,양양군,10.2
2021,충주시,20.5
2021,제천시,12.8
2021,청주시,24.0
2021,청주시 상당구,23.2
2021,청주시 서원구,24.5
2021,청주시 흥덕구,24.0
2021,청주시 청원구,24.6
2021,보은군,17.7
2021,옥천군,23.4
2021,영동군,23.2
2021,진천군,16.5
2021,괴산군,17.5
2021,음성군,16.9
2021,단양군,15.8
2021,증평군,25.3
2021,천안시,18.9
2021,천안시 동남구,17.9
2021,천안시 서북구,20.2
2021,공주시,24.3
2021,보령시,4.1
2021,아산시,19.3
2021,서산시,4.6
2021,논산시,27.7
2021,계룡시,20.6
2021,당진시,9.5
2021,금산군,22.9
2021,부여군,18.9
2021,서천군,9.7
2021,청양군,17.2
2021,홍성군,12.4
2021,예산군,18.6
2021,태안군,1.6
2021,전주시,33.5
2021,전주시 완산구,33.4
2021,전주시 덕진구,33.6
2021,군산시,12.0
2021,익산시,25.6
2021,정읍시,26.1
2021,남원시,23.7
2021,김제시,24.1
2021,완주군,29.3
2021,진안군,15.0
2021,무주군,18.5
2021,장수군,14.1
2021,임실군,20.9
2021,순창군,22.4
2021,고창군,15.1
2021,부안군,15.3
2021,목포시,8.4
2021,여수시,5.7
2021,순천시,19.3
2021,나주시,26.2
2021,광양시,18.8
2021,담양군,23.6
2021,곡성군,25.8
2021,구례군,29.9
2021,고흥군,9.6
2021,보성군,14.4
2021,화순군,21.2
2021,장흥군,10.1
2021,강진군,10.6
2021,해남군,9.0
2021,영암군,19.4
2021,무안군,13.8
2021,함평군,18.6
2021,영광군,12.1
2021,장성군,23.7
2021,완도군,1.5
2021,진도군,5.1
2021,신안군,5.6
2021,포항시,21.4
2021,포항시 남구,20.4
2021,포항시 북구,22.3
2021,경주시,27.8
2021,김천시,30.6
2021,안동시,26.9
2021,구미시,34.5
2021,영주시,23.7
2021,영천시,34.5
2021,상주시,23.1
2021,문경시,20.1
2021,경산시,43.5
2021,군위군,30.5
2021,의성군,33.6
2021,청송군,25.3
2021,영양군,16.0
2021,영덕군,21.3
2021,청도군,31.9
2021,고령군,32.7
2021,성주군,32.5
2021,칠곡군,38.9
2021,예천군,24.3
2021,봉화군,16.1
2021,울진군,11.2
2021,울릉군,0.0
2021,진주시,27.2
2021,통영시,3.8
2021,사천시,17.5
2021,김해시,24.7
2021,밀양시,35.6
2021,거제시,2.7
2021,양산시,22.0
2021,창원시,16.3
2021,창원시 의창구,25.2
2021,창원시 성산구,20.7
2021,창원시 마산합포구,13.3
2021,창원시 마산회원구,17.2
2021,창원시 진해구,11.2
2021,의령군,29.8
2021,함안군,35.7
2021,창녕군,40.3
2021,고성군,14.7
2021,남해군,9.7
2021,하동군,20.7
2021,산청군,24.3
2021,함양군,23.4
2021,거창군,21.5
2021,합천군,31.0
2021,제주시,9.3
2021,서귀포시,6.1
2022,종로구,26.0
2022,중구,30.5
2022,용산구,29.2
2022,성동구,32.9
2022,광진구,33.6
2022,동대문구,32.8
2022,중랑구,31.2
2022,성북구,28.6
2022,강북구,29.3
2022,도봉구,28.2
2022,노원구,28.8
2022,은평구,28.7
2022,서대문구,25.7
2022,마포구,30.5
2022,양천구,32.3
2022,강서구,30.3
2022,구로구,30.7
2022,금천구,26.8
2022,영등포구,33.6
2022,동작구,30.5
2022,관악구,28.1
2022,서초구,36.3
2022,강남구,34.0
2022,송파구,35.4
2022,강동구,34.1
2022,중구,4.1
2022,서구,2.7
2022,동구,3.4
2022,영도구,2.7
2022,부산진구,10.8
2022,동래구,15.5
2022,남구,7.5
2022,북구,17.7
2022,해운대구,8.2
2022,사하구,5.7
2022,금정구,13.8
2022,강서구,14.9
2022,연제구,17.4
2022,수영구,7.4
2022,사상구,14.4
2022,기장군,5.9
2022,중구,48.5
2022,동구,45.8
2022,서구,48.4
2022,남구,45.7
2022,북구,44.8
2022,수성구,43.7
2022,달서구,44.7
2022,달성군,41.3
2022,중구,14.5
2022,동구,16.5
2022,연수구,19.9
2022,남동구,22.2
2022,부평구,23.4
2022,계양구,23.5
2022,서구,21.1
2022,미추홀구,18.6
2022,강화군,13.2
2022,옹진군,3.8
2022,동구,31.9
2022,서구,37.3
2022,남구,35.3
2022,북구,33.0
2022,광산구,35.1
2022,동구,35.9
2022,중구,41.2
2022,서구,33.7
2022,유성구,32.6
2022,대덕구,34.5
2022,중구,12.6
2022,남구,16.1
2022,동구,0.4
2022,북구,9.4
2022,울주군,12.0
2022,세종특별자치시,33.5
2022,수원시,26.1
2022,수원시 장안구,25.2
2022,수원시 권선구,26.6
2022,수원시 팔달구,25.8
2022,수원시 영통구,26.6
2022,성남시,30.1
2022,성남시 수정구,30.7
2022,성남시 중원구,27.9
2022,성남시 분당구,30.6
2022,의정부시,26.9
2022,안양시,26.1
2022,안양시 만안구,26.6
2022,안양시 동안구,25.8
2022,부천시,29.1
2022,광명시,29.8
2022,평택시,31.8
2022,동두천시,25.3
2022,안산시,24.1
2022,안산시 상록구,25.8
2022,안산시 단원구,22.2
2022,고양시,28.6
2022,고양시 덕양구,30.8
2022,고양시 일산동구,26.9
2022,고양시 일산서구,26.1
2022,과천시,24.0
2022,구리시,29.8
2022,남양주시,26.8
2022,오산시,31.6
2022,시흥시,24.0
2022,군포시,22.1
2022,의왕시,26.2
2022,하남시,32.9
2022,용인시,25.4
2022,용인시 처인구,25.8
2022,용인시 기흥구,25.0
2022,용인시 수지구,25.6
2022,파주시,25.7
2022,이천시,29.5
2022,안성시,30.1
2022,김포시,22.1
2022,화성시,26.3
2022,광주시,26.1
2022,양주시,23.9
2022,포천시,22.7
2022,여주시,32.9
2022,연천군,22.3
2022,가평군,27.8
2022,양평군,29.4
2022,춘천시,27.6
2022,원주시,31.8
2022,강릉시,8.7
2022,동해시,3.6
2022,태백시,2.5
2022,속초시,4.6
2022,삼척시,6.4
2022,홍천군,20.3
2022,횡성군,16.4
2022,영월군,17.2
2022,평창군,5.6
2022,정선군,3.6
2022,철원군,8.7
2022,화천군,15.4
2022,양구군,11.2
2022,인제군,10.0
2022,고성군,5.0
2022,양양군,6.4
2022,충주시,31.8
2022,제천시,21.1
2022,청주시,33.1
2022,청주시 상당구,31.6
2022,청주시 서원구,32.8
2022,청주시 흥덕구,33.9
2022,청주시 청원구,34.6
2022,보은군,23.6
2022,옥천군,28.8
2022,영동군,26.3
2022,진천군,28.4
2022,괴산군,26.6
2022,음성군,29.3
2022,단양군,22.3
2022,증평군,34.6
2022,천안시,30.2
2022,천안시 동남구,29.1
2022,천안시 서북구,31.7
2022,공주시,34.1
2022,보령시,13.3
2022,아산시,30.5
2022,서산시,13.2
2022,논산시,34.7
2022,계룡시,28.7
2022,당진시,19.8
2022,금산군,27.0
2022,부여군,29.3
2022,서천군,20.3
2022,청양군,27.4
2022,홍성군,23.3
2022,예산군,29.0
2022,태안군,8.1
2022,전주시,39.5
2022,전주시 완산구,39.5
2022,전주시 덕진구,39.5
2022,군산시,22.5
2022,익산시,34.1
2022,정읍시,32.1
2022,남원시,24.5
2022,김제시,32.2
2022,완주군,34.2
2022,진안군,17.5
2022,무주군,19.1
2022,장수군,15.1
2022,임실군,23.7
2022,순창군,25.7
2022,고창군,20.8
2022,부안군,22.5
2022,목포시,11.5
2022,여수시,5.7
2022,순천시,18.9
2022,나주시,30.5
2022,광양시,17.5
2022,담양군,27.9
2022,곡성군,30.1
2022,구례군,33.2
2022,고흥군,9.3
2022,보성군,15.0
2022,화순군,24.4
2022,장흥군,10.9
2022,강진군,11.0
2022,해남군,10.1
2022,영암군,21.1
2022,무안군,17.6
2022,함평군,22.9
2022,영광군,17.9
2022,장성군,28.3
2022,완도군,3.2
2022,진도군,7.0
2022,신안군,8.5
2022,포항시,13.7
2022,포항시 남구,12.7
2022,포항시 북구,14.7
2022,경주시,21.4
2022,김천시,32.3
2022,안동시,27.2
2022,구미시,35.2
2022,영주시,25.5
2022,영천시,33.0
2022,상주시,27.6
2022,문경시,25.2
2022,경산시,44.8
2022,군위군,29.6
2022,의성군,34.6
2022,청송군,21.1
2022,영양군,10.7
2022,영덕군,14.3
2022,청도군,27.3
2022,고령군,30.7
2022,성주군,32.3
2022,칠곡군,39.8
2022,예천군,27.6
2022,봉화군,13.4
2022,울진군,5.3
2022,울릉군,0.3
2022,진주시,24.1
2022,통영시,4.1
2022,사천시,16.5
2022,김해시,22.8
2022,밀양시,31.6
2022,거제시,3.2
2022,양산시,15.7
2022,창원시,15.2
2022,창원시 의창구,23.6
2022,창원시 성산구,20.4
2022,창원시 마산합포구,12.5
2022,창원시 마산회원구,15.6
2022,창원시 진해구,10.2
2022,의령군,25.7
2022,함안군,33.1
2022,창녕군,37.0
2022,고성군,14.2
2022,남해군,8.8
2022,하동군,19.4
2022,산청군,21.8
2022,함양군,21.7
2022,거창군,18.7
2022,합천군,27.7
2022,제주시,3.6
2022,서귀포시,1.4
2023,종로구,21.7
2023,중구,26.7
2023,용산구,25.5
2023,성동구,29.2
2023,광진구,30.0
2023,동대문구,30.0
