Year,Sub_Region_Name,Climate_Value
2021,종로구,13.0
2021,중구,13.5
2021,용산구,13.3
2021,성동구,13.7
2021,광진구,13.8
2021,동대문구,13.6
2021,중랑구,13.2
2021,성북구,13.2
2021,강북구,13.1
2021,도봉구,12.7
2021,노원구,12.8
2021,은평구,13.0
2021,서대문구,12.9
2021,마포구,13.5
2021,양천구,13.6
2021,강서구,13.5
2021,구로구,13.4
2021,금천구,13.6
2021,영등포구,13.8
2021,동작구,13.5
2021,관악구,13.4
2021,서초구,13.7
2021,강남구,13.8
2021,송파구,13.8
2021,강동구,13.4
2021,중구,15.3
2021,서구,14.6
2021,동구,14.3
2021,영도구,15.1
2021,부산진구,15.0
2021,동래구,14.9
2021,남구,15.4
2021,북구,15.1
2021,해운대구,15.2
2021,사하구,15.1
2021,금정구,14.5
2021,강서구,15.2
2021,연제구,15.4
2021,수영구,15.0
2021,사상구,15.4
2021,기장군,14.7
2021,중구,14.8
2021,동구,14.6
2021,서구,14.9
2021,남구,14.6
2021,북구,14.3
2021,수성구,14.7
2021,달서구,14.5
2021,달성군,14.1
2021,중구,12.8
2021,동구,12.9
2021,연수구,12.8
2021,남동구,12.7
2021,부평구,12.8
2021,계양구,12.8
2021,서구,12.6
2021,미추홀구,12.8
2021,강화군,12.1
2021,옹진군,12.3
2021,동구,14.7
2021,서구,14.6
2021,남구,14.6
2021,북구,14.5
2021,광산구,14.2
2021,동구,13.2
2021,중구,13.8
2021,서구,13.5
2021,유성구,13.1
2021,대덕구,13.2
2021,중구,14.8
2021,남구,15.3
2021,동구,14.5
2021,북구,14.9
2021,울주군,14.1
2021,세종특별자치시,12.7
2021,수원시,12.9
2021,수원시 장안구,12.9
2021,수원시 권선구,13.0
2021,수원시 팔달구,13.0
2021,수원시 영통구,12.9
2021,성남시,13.1
2021,성남시 수정구,13.2
2021,성남시 중원구,12.9
2021,성남시 분당구,13.2
2021,의정부시,12.4
2021,안양시,13.0
2021,안양시 만안구,13.1
2021,안양시 동안구,12.9
2021,부천시,13.1
2021,광명시,13.4
2021,평택시,12.9
2021,동두천시,11.6
2021,안산시,12.8
2021,안산시 상록구,12.6
2021,안산시 단원구,12.9
2021,고양시,12.9
2021,고양시 덕양구,13.0
2021,고양시 일산동구,12.8
2021,고양시 일산서구,12.6
2021,과천시,12.6
2021,구리시,12.9
2021,남양주시,12.2
2021,오산시,12.7
2021,시흥시,12.9
2021,군포시,12.7
2021,의왕시,13.0
2021,하남시,13.3
2021,용인시,12.5
2021,용인시 처인구,11.9
2021,용인시 기흥구,12.7
2021,용인시 수지구,12.9
2021,파주시,11.9
2021,이천시,12.0
2021,안성시,12.4
2021,김포시,12.5
2021,화성시,12.7
2021,광주시,12.3
2021,양주시,11.7
2021,포천시,10.8
2021,여주시,11.8
2021,연천군,10.9
2021,가평군,11.0
2021,양평군,11.7
2021,춘천시,11.3
2021,원주시,11.8
2021,강릉시,13.1
2021,동해시,13.0
2021,태백시,9.1
2021,속초시,12.6
2021,삼척시,12.2
2021,홍천군,9.9
2021,횡성군,9.8
2021,영월군,10.5
2021,평창군,8.8
2021,정선군,9.1
2021,철원군,9.4
2021,화천군,9.9
2021,양구군,9.5
2021,인제군,9.7
2021,고성군,12.2
2021,양양군,12.6
2021,충주시,11.9
2021,제천시,10.9
2021,청주시,12.9
2021,청주시 상당구,12.5
2021,청주시 서원구,13.0
2021,청주시 흥덕구,13.2
2021,청주시 청원구,12.8
2021,보은군,11.6
2021,옥천군,12.3
2021,영동군,12.1
2021,진천군,12.0
2021,괴산군,11.6
2021,음성군,11.8
2021,단양군,11.2
2021,증평군,12.4
2021,천안시,12.5
2021,천안시 동남구,12.3
2021,천안시 서북구,12.6
2021,공주시,12.7
2021,보령시,12.9
2021,아산시,12.7
2021,서산시,12.6
2021,논산시,13.0
2021,계룡시,12.3
2021,당진시,12.6
2021,금산군,12.2
2021,부여군,12.7
2021,서천군,13.1
2021,청양군,12.2
2021,홍성군,12.7
2021,예산군,12.6
2021,태안군,12.9
2021,전주시,14.1
2021,전주시 완산구,14.1
2021,전주시 덕진구,14.0
2021,군산시,13.4
2021,익산시,13.4
2021,정읍시,13.6
2021,남원시,12.8
2021,김제시,13.6
2021,완주군,13.1
2021,진안군,11.4
2021,무주군,11.5
2021,장수군,11.5
2021,임실군,12.0
2021,순창군,12.6
2021,고창군,13.7
2021,부안군,13.6
2021,목포시,14.4
2021,여수시,14.9
2021,순천시,14.3
2021,나주시,14.0
2021,광양시,14.6
2021,담양군,13.5
2021,곡성군,13.4
2021,구례군,13.6
2021,고흥군,14.6
2021,보성군,13.4
2021,화순군,13.5
2021,장흥군,13.6
2021,강진군,14.1
2021,해남군,14.1
2021,영암군,14.2
2021,무안군,14.3
2021,함평군,14.0
2021,영광군,13.9
2021,장성군,13.6
2021,완도군,14.7
2021,진도군,14.3
2021,신안군,14.5
2021,포항시,14.3
2021,포항시 남구,14.6
2021,포항시 북구,14.0
2021,경주시,13.8
2021,김천시,12.7
2021,안동시,12.1
2021,구미시,13.2
2021,영주시,11.7
2021,영천시,13.2
2021,상주시,12.4
2021,문경시,12.0
2021,경산시,14.4
2021,군위군,12.2
2021,의성군,12.3
2021,청송군,11.2
2021,영양군,10.8
2021,영덕군,13.4
2021,청도군,13.2
2021,고령군,13.4
2021,성주군,13.2
2021,칠곡군,13.5
2021,예천군,12.1
2021,봉화군,10.6
2021,울진군,12.9
2021,울릉군,12.3
2021,진주시,13.7
2021,통영시,14.9
2021,사천시,14.5
2021,김해시,14.8
2021,밀양시,13.8
2021,거제시,14.8
2021,양산시,14.1
2021,창원시,14.4
2021,창원시 의창구,14.3
2021,창원시 성산구,14.6
2021,창원시 마산합포구,14.4
2021,창원시 마산회원구,14.3
2021,창원시 진해구,14.5
2021,의령군,13.4
2021,함안군,13.8
2021,창녕군,13.8
2021,고성군,14.1
2021,남해군,14.8
2021,하동군,14.2
2021,산청군,13.4
2021,함양군,12.6
2021,거창군,12.1
2021,합천군,13.3
2021,제주시,16.2
2021,서귀포시,16.7
2022,종로구,14.1
2022,중구,14.6
2022,용산구,14.5
2022,성동구,14.9
2022,광진구,14.9
2022,동대문구,14.8
2022,중랑구,14.4
2022,성북구,14.3
2022,강북구,14.2
2022,도봉구,13.9
2022,노원구,14.0
2022,은평구,14.1
2022,서대문구,14.0
2022,마포구,14.6
2022,양천구,14.7
2022,강서구,14.6
2022,구로구,14.6
2022,금천구,14.7
2022,영등포구,15.0
2022,동작구,14.7
2022,관악구,14.6
2022,서초구,14.8
2022,강남구,15.0
2022,송파구,15.0
2022,강동구,14.6
2022,중구,16.2
2022,서구,15.5
2022,동구,15.2
2022,영도구,16.0
2022,부산진구,15.9
2022,동래구,15.8
2022,남구,16.3
2022,북구,15.9
2022,해운대구,16.1
2022,사하구,16.0
2022,금정구,15.4
2022,강서구,16.0
2022,연제구,16.3
2022,수영구,15.9
2022,사상구,16.2
2022,기장군,15.6
2022,중구,15.7
